,Symbol,2019Q2 Time,2019Q2 Date
0,A,TAS,2019-05-14
1,AAL,TAS,2019-04-26
2,AAP,TAS,2019-05-22
3,AAPL,TAS,2019-04-30
4,ABBV,TAS,2019-04-25
5,ABC,TAS,2019-05-02
6,ABMD,TAS,2019-05-02
7,ABT,TAS,2019-04-17
8,ACN,TAS,2019-06-27
9,ADBE,TAS,2019-06-18
10,ADI,TAS,2019-05-22
11,ADM,TAS,2019-04-26
12,ADP,TAS,2019-05-01
13,ADS,TAS,2019-04-25
14,ADSK,Time Not Supplied,2019-05-23
15,AEE,TAS,2019-05-09
16,AEP,TAS,2019-04-25
17,AES,TAS,2019-05-07
18,AFL,TAS,2019-04-25
19,AGN,TAS,2019-05-07
20,AIG,TAS,2019-05-06
21,AIV,TAS,2019-05-02
22,AIZ,TAS,2019-05-06
23,AJG,TAS,2019-04-25
24,AKAM,TAS,2019-04-30
25,ALB,TAS,2019-05-08
26,ALGN,TAS,2019-04-24
27,ALK,TAS,2019-04-25
28,ALL,TAS,2019-05-01
29,ALLE,TAS,2019-04-25
30,ALXN,TAS,2019-04-25
31,AMAT,TAS,2019-05-16
32,AMCR,NaN,NaN
33,AMD,TAS,2019-04-30
34,AME,TAS,2019-05-01
35,AMGN,TAS,2019-04-30
36,AMP,TAS,2019-04-24
37,AMT,TAS,2019-05-03
38,AMZN,TAS,2019-04-25
39,ANET,TAS,2019-05-02
40,ANSS,TAS,2019-05-01
41,ANTM,TAS,2019-04-24
42,AON,TAS,2019-04-26
43,AOS,TAS,2019-04-30
44,APA,TAS,2019-05-01
45,APD,TAS,2019-04-24
46,APH,TAS,2019-04-24
47,APTV,TAS,2019-05-02
48,ARE,TAS,2019-04-29
49,ATO,TAS,2019-05-07
50,ATVI,TAS,2019-05-02
51,AVB,TAS,2019-04-24
52,AVGO,After Market Close,2019-06-13
53,AVY,TAS,2019-04-24
54,AWK,TAS,2019-05-01
55,AXP,TAS,2019-04-18
56,AZO,TAS,2019-05-21
57,BA,TAS,2019-04-24
58,BAC,TAS,2019-04-16
59,BAX,Before Market Open,2019-04-25
60,BBY,TAS,2019-05-23
61,BDX,TAS,2019-05-09
62,BEN,TAS,2019-04-26
63,BF.B,NaN,NaN
64,BIIB,Before Market Open,2019-04-24
65,BK,TAS,2019-04-17
66,BKNG,After Market Close,2019-05-09
67,BKR,NaN,NaN
68,BLK,TAS,2019-04-16
69,BLL,TAS,2019-05-02
70,BMY,TAS,2019-04-25
71,BR,TAS,2019-05-07
72,BRK.B,NaN,NaN
73,BSX,TAS,2019-04-24
74,BWA,TAS,2019-04-25
75,BXP,TAS,2019-04-30
76,C,TAS,2019-04-15
77,CAG,TAS,2019-06-27
78,CAH,NaN,NaN
79,CARR,NaN,NaN
80,CAT,NaN,NaN
81,CB,TAS,2019-04-30
82,CBOE,TAS,2019-05-03
83,CBRE,TAS,2019-05-08
84,CCI,TAS,2019-04-17
85,CCL,NaN,NaN
86,CDNS,TAS,2019-04-22
87,CDW,TAS,2019-05-01
88,CE,TAS,2019-04-22
89,CERN,NaN,NaN
90,CF,TAS,2019-05-01
91,CFG,TAS,2019-04-18
92,CHD,NaN,NaN
93,CHRW,NaN,NaN
94,CHTR,NaN,NaN
95,CI,NaN,NaN
96,CINF,NaN,NaN
97,CL,TAS,2019-04-26
98,CLX,NaN,NaN
99,CMA,TAS,2019-04-16
100,CMCSA,NaN,NaN
101,CME,NaN,NaN
102,CMG,NaN,NaN
103,CMI,TAS,2019-04-30
104,CMS,TAS,2019-04-25
105,CNC,TAS,2019-04-23
106,CNP,NaN,NaN
107,COF,NaN,NaN
108,COG,TAS,2019-04-26
109,COO,TAS,2019-05-30
110,COP,NaN,NaN
111,COST,TAS,2019-05-30
112,COTY,NaN,NaN
113,CPB,TAS,2019-06-05
114,CPRI,TAS,2019-05-29
115,CPRT,TAS,2019-05-22
116,CRM,TAS,2019-06-04
117,CSCO,TAS,2019-05-15
118,CSX,TAS,2019-04-16
119,CTAS,NaN,NaN
120,CTL,NaN,NaN
121,CTSH,TAS,2019-05-02
122,CTVA,NaN,NaN
123,CTXS,NaN,NaN
124,CVS,NaN,NaN
125,CVX,TAS,2019-04-26
126,CXO,NaN,NaN
127,D,TAS,2019-05-03
128,DAL,TAS,2019-04-10
129,DD,NaN,NaN
130,DE,TAS,2019-05-17
131,DFS,NaN,NaN
132,DG,TAS,2019-05-30
133,DGX,NaN,NaN
134,DHI,NaN,NaN
135,DHR,TAS,2019-04-18
136,DIS,After Market Close,2019-05-08
137,DISCA,NaN,NaN
138,DISCK,NaN,NaN
139,DISH,TAS,2019-05-03
140,DLR,NaN,NaN
141,DLTR,Before Market Open,2019-05-30
142,DOV,TAS,2019-04-18
143,DOW,NaN,NaN
144,DRE,NaN,NaN
145,DRI,Before Market Open,2019-06-20
146,DTE,TAS,2019-04-24
147,DUK,TAS,2019-05-09
148,DVA,NaN,NaN
149,DVN,NaN,NaN
150,DXC,TAS,2019-05-23
151,EA,TAS,2019-05-07
152,EBAY,NaN,NaN
153,ECL,NaN,NaN
154,ED,NaN,NaN
155,EFX,TAS,2019-05-10
156,EIX,NaN,NaN
157,EL,NaN,NaN
158,EMN,NaN,NaN
159,EMR,NaN,NaN
160,EOG,NaN,NaN
161,EQIX,NaN,NaN
162,EQR,NaN,NaN
163,ES,NaN,NaN
164,ESS,NaN,NaN
165,ETFC,TAS,2019-04-17
166,ETN,NaN,NaN
167,ETR,TAS,2019-05-01
168,EVRG,NaN,NaN
169,EW,TAS,2019-04-23
170,EXC,NaN,NaN
171,EXPD,NaN,NaN
172,EXPE,NaN,NaN
173,EXR,NaN,NaN
174,F,TAS,2019-04-25
175,FANG,NaN,NaN
176,FAST,TAS,2019-04-11
177,FB,NaN,NaN
178,FBHS,TAS,2019-04-24
179,FCX,NaN,NaN
180,FDX,TAS,2019-06-25
181,FE,NaN,NaN
182,FFIV,NaN,NaN
183,FIS,NaN,NaN
184,FISV,NaN,NaN
185,FITB,TAS,2019-04-23
186,FLIR,NaN,NaN
187,FLS,TAS,2019-05-02
188,FLT,NaN,NaN
189,FMC,After Market Close,2019-05-06
190,FOX,NaN,NaN
191,FOXA,NaN,NaN
192,FRC,TAS,2019-04-12
193,FRT,NaN,NaN
194,FTI,NaN,NaN
195,FTNT,NaN,NaN
196,FTV,NaN,NaN
197,GD,NaN,NaN
198,GE,Before Market Open,2019-04-30
199,GILD,NaN,NaN
200,GIS,TAS,2019-06-26
201,GL,TAS,2019-04-17
202,GLW,NaN,NaN
203,GM,NaN,NaN
204,GOOG,NaN,NaN
205,GOOGL,After Market Close,2019-04-29
206,GPC,TAS,2019-04-18
207,GPN,NaN,NaN
208,GPS,TAS,2019-05-30
209,GRMN,NaN,NaN
210,GS,Before Market Open,2019-04-15
211,GWW,TAS,2019-04-22
212,HAL,TAS,2019-04-22
213,HAS,NaN,NaN
214,HBAN,NaN,NaN
215,HBI,NaN,NaN
216,HCA,NaN,NaN
217,HD,TAS,2019-05-21
218,HES,NaN,NaN
219,HFC,NaN,NaN
220,HIG,NaN,NaN
221,HII,NaN,NaN
222,HLT,NaN,NaN
223,HOG,NaN,NaN
224,HOLX,NaN,NaN
225,HON,TAS,2019-04-18
226,HP,TAS,2019-04-24
227,HPE,TAS,2019-05-23
228,HPQ,After Market Close,2019-05-23
229,HRB,TAS,2019-06-11
230,HRL,TAS,2019-05-23
231,HSIC,NaN,NaN
232,HST,NaN,NaN
233,HSY,NaN,NaN
234,HUM,NaN,NaN
235,HWM,NaN,NaN
236,IBM,TAS,2019-04-16
237,ICE,NaN,NaN
238,IDXX,NaN,NaN
239,IEX,NaN,NaN
240,IFF,NaN,NaN
241,ILMN,NaN,NaN
242,INCY,NaN,NaN
243,INFO,TAS,2019-06-26
244,INTC,NaN,NaN
245,INTU,Time Not Supplied,2019-05-23
246,IP,NaN,NaN
247,IPG,TAS,2019-04-26
248,IPGP,NaN,NaN
249,IQV,NaN,NaN
250,IR,NaN,NaN
251,IRM,NaN,NaN
252,ISRG,TAS,2019-04-18
253,IT,NaN,NaN
254,ITW,NaN,NaN
255,IVZ,NaN,NaN
256,J,NaN,NaN
257,JBHT,TAS,2019-04-15
258,JCI,NaN,NaN
259,JKHY,TAS,2019-04-30
260,JNJ,TAS,2019-04-16
261,JNPR,NaN,NaN
262,JPM,TAS,2019-04-12
263,JWN,TAS,2019-05-21
264,K,NaN,NaN
265,KEY,TAS,2019-04-18
266,KEYS,TAS,2019-05-29
267,KHC,NaN,NaN
268,KIM,NaN,NaN
269,KLAC,TAS,2019-05-06
270,KMB,TAS,2019-04-22
271,KMI,TAS,2019-04-17
272,KMX,TAS,2019-06-21
273,KO,TAS,2019-04-23
274,KR,TAS,2019-06-20
275,KSS,TAS,2019-05-21
276,KSU,TAS,2019-04-17
277,L,Before Market Open,2019-04-29
278,LB,TAS,2019-05-22
279,LDOS,NaN,NaN
280,LEG,NaN,NaN
281,LEN,TAS,2019-06-25
282,LH,TAS,2019-04-30
283,LHX,NaN,NaN
284,LIN,NaN,NaN
285,LKQ,TAS,2019-04-25
286,LLY,TAS,2019-04-30
287,LMT,TAS,2019-04-23
288,LNC,TAS,2019-05-01
289,LNT,TAS,2019-05-02
290,LOW,TAS,2019-05-22
291,LRCX,TAS,2019-04-24
292,LUV,TAS,2019-04-25
293,LVS,TAS,2019-04-17
294,LW,TAS,2019-04-02
295,LYB,Before Market Open,2019-04-26
296,LYV,NaN,NaN
297,MA,NaN,NaN
298,MAA,TAS,2019-05-01
299,MAR,NaN,NaN
300,MAS,NaN,NaN
301,MCD,NaN,NaN
302,MCHP,NaN,NaN
303,MCK,NaN,NaN
304,MCO,NaN,NaN
305,MDLZ,NaN,NaN
306,MDT,TAS,2019-05-23
307,MET,NaN,NaN
308,MGM,NaN,NaN
309,MHK,NaN,NaN
310,MKC,TAS,2019-06-27
311,MKTX,NaN,NaN
312,MLM,NaN,NaN
313,MMC,NaN,NaN
314,MMM,TAS,2019-04-25
315,MNST,TAS,2019-05-02
316,MO,TAS,2019-04-25
317,MOS,TAS,2019-05-06
318,MPC,Before Market Open,2019-05-08
319,MRK,TAS,2019-04-30
320,MRO,TAS,2019-05-01
321,MS,TAS,2019-04-17
322,MSCI,NaN,NaN
323,MSFT,NaN,NaN
324,MSI,NaN,NaN
325,MTB,TAS,2019-04-15
326,MTD,NaN,NaN
327,MU,TAS,2019-06-25
328,MXIM,NaN,NaN
329,MYL,NaN,NaN
330,NBL,TAS,2019-05-03
331,NCLH,NaN,NaN
332,NDAQ,NaN,NaN
333,NEE,NaN,NaN
334,NEM,NaN,NaN
335,NFLX,TAS,2019-04-16
336,NI,NaN,NaN
337,NKE,TAS,2019-06-27
338,NLOK,NaN,NaN
339,NLSN,NaN,NaN
340,NOC,NaN,NaN
341,NOV,NaN,NaN
342,NOW,NaN,NaN
343,NRG,NaN,NaN
344,NSC,NaN,NaN
345,NTAP,After Market Close,2019-05-22
346,NTRS,TAS,2019-04-23
347,NUE,NaN,NaN
348,NVDA,TAS,2019-05-16
349,NVR,TAS,2019-04-22
350,NWL,TAS,2019-05-03
351,NWS,NaN,NaN
352,NWSA,NaN,NaN
353,O,TAS,2019-05-01
354,ODFL,NaN,NaN
355,OKE,NaN,NaN
356,OMC,TAS,2019-04-16
357,ORCL,TAS,2019-06-19
358,ORLY,TAS,2019-04-24
359,OTIS,NaN,NaN
360,OXY,TAS,2019-05-05
361,PAYC,NaN,NaN
362,PAYX,TAS,2019-06-26
363,PBCT,TAS,2019-04-18
364,PCAR,NaN,NaN
365,PEAK,NaN,NaN
366,PEG,NaN,NaN
367,PEP,TAS,2019-04-17
368,PFE,NaN,NaN
369,PFG,NaN,NaN
370,PG,TAS,2019-04-23
371,PGR,Multi,Multi
372,PH,TAS,2019-05-02
373,PHM,NaN,NaN
374,PKG,TAS,2019-04-24
375,PKI,NaN,NaN
376,PLD,TAS,2019-04-16
377,PM,TAS,2019-04-18
378,PNC,TAS,2019-04-12
379,PNR,Multi,Multi
380,PNW,NaN,NaN
381,PPG,TAS,2019-04-18
382,PPL,NaN,NaN
383,PRGO,NaN,NaN
384,PRU,NaN,NaN
385,PSA,NaN,NaN
386,PSX,TAS,2019-04-30
387,PVH,TAS,2019-05-29
388,PWR,NaN,NaN
389,PXD,TAS,2019-05-06
390,PYPL,NaN,NaN
391,QCOM,NaN,NaN
392,QRVO,NaN,NaN
393,RCL,TAS,2019-05-01
394,RE,TAS,2019-05-06
395,REG,After Market Close,2019-05-02
396,REGN,NaN,NaN
397,RF,TAS,2019-04-18
398,RHI,NaN,NaN
399,RJF,NaN,NaN
400,RL,TAS,2019-05-14
401,RMD,NaN,NaN
402,ROK,TAS,2019-04-25
403,ROL,NaN,NaN
404,ROP,NaN,NaN
405,ROST,After Market Close,2019-05-23
406,RSG,NaN,NaN
407,RTX,NaN,NaN
408,SBAC,TAS,2019-04-29
409,SBUX,NaN,NaN
410,SCHW,TAS,2019-04-15
411,SEE,TAS,2019-05-01
412,SHW,TAS,2019-04-23
413,SIVB,NaN,NaN
414,SJM,TAS,2019-06-06
415,SLB,TAS,2019-04-18
416,SLG,TAS,2019-04-17
417,SNA,TAS,2019-04-18
418,SNPS,After Market Close,2019-05-22
419,SO,NaN,NaN
420,SPG,NaN,NaN
421,SPGI,NaN,NaN
422,SRE,NaN,NaN
423,STE,NaN,NaN
424,STT,TAS,2019-04-23
425,STX,NaN,NaN
426,STZ,Multi,Multi
427,SWK,TAS,2019-04-24
428,SWKS,NaN,NaN
429,SYF,TAS,2019-04-18
430,SYK,TAS,2019-04-23
431,SYY,TAS,2019-05-06
432,T,TAS,2019-04-24
433,TAP,Before Market Open,2019-05-01
434,TDG,NaN,NaN
435,TEL,NaN,NaN
436,TFC,NaN,NaN
437,TFX,NaN,NaN
438,TGT,TAS,2019-05-22
439,TIF,Multi,Multi
440,TJX,TAS,2019-05-21
441,TMO,NaN,NaN
442,TMUS,NaN,NaN
443,TPR,NaN,NaN
444,TROW,NaN,NaN
445,TRV,TAS,2019-04-18
446,TSCO,TAS,2019-04-25
447,TSN,NaN,NaN
448,TT,NaN,NaN
449,TTWO,After Market Close,2019-05-13
450,TWTR,NaN,NaN
451,TXN,NaN,NaN
452,TXT,TAS,2019-04-17
453,UA,NaN,NaN
454,UAA,TAS,2019-05-02
455,UAL,After Market Close,2019-04-16
456,UDR,NaN,NaN
457,UHS,NaN,NaN
458,ULTA,After Market Close,2019-05-30
459,UNH,TAS,2019-04-16
460,UNM,NaN,NaN
461,UNP,TAS,2019-04-18
462,UPS,NaN,NaN
463,URI,TAS,2019-04-17
464,USB,TAS,2019-04-17
465,V,NaN,NaN
466,VAR,NaN,NaN
467,VFC,TAS,2019-05-22
468,VIAC,NaN,NaN
469,VLO,NaN,NaN
470,VMC,NaN,NaN
471,VNO,NaN,NaN
472,VRSK,TAS,2019-04-30
473,VRSN,NaN,NaN
474,VRTX,NaN,NaN
475,VTR,TAS,2019-04-26
476,VZ,TAS,2019-04-23
477,WAB,TAS,2019-04-25
478,WAT,TAS,2019-04-23
479,WBA,Multi,Multi
480,WDC,TAS,2019-04-29
481,WEC,NaN,NaN
482,WELL,NaN,NaN
483,WFC,TAS,2019-04-12
484,WHR,TAS,2019-04-22
485,WLTW,NaN,NaN
486,WM,NaN,NaN
487,WMB,TAS,2019-05-01
488,WMT,TAS,2019-05-16
489,WRB,TAS,2019-04-23
490,WRK,NaN,NaN
491,WU,TAS,2019-05-07
492,WY,TAS,2019-04-26
493,WYNN,NaN,NaN
494,XEL,NaN,NaN
495,XLNX,NaN,NaN
496,XOM,TAS,2019-04-26
497,XRAY,TAS,2019-05-03
498,XRX,NaN,NaN
499,XYL,NaN,NaN
500,YUM,TAS,2019-05-01
501,ZBH,TAS,2019-04-26
502,ZBRA,NaN,NaN
503,ZION,After Market Close,2019-04-22
504,ZTS,NaN,NaN
