,Symbol,2019Q1 %Change,2019Q2 %Change,2019Q3 %Change,2019Q4 %Change,2020Q1 %Change,Buy Straddle?,2020Q2 Date,2020Q2 %Change,2020Q2 Success
249,IQV,2.41,-1.22,0.09,-1.47,1.95,3 no,2020-04-28,,NaN
250,IR,0.89,0.87,-0.33,1.92,0.56,3 no,2020-05-17,,NaN
251,IRM,0.31,-3.46,,-1.22,0.66,3 no,2020-05-04,,NaN
252,ISRG,,-5.33,-0.63,3.32,,3 no,2020-04-16,1.89,no
253,IT,-9.86,-1.81,-13.1,1.64,-5.08,2 maybe,2020-05-07,,NaN
254,ITW,-3.42,-3.03,-2.29,2.49,0.34,3 no,2020-05-05,,NaN
255,IVZ,-1.57,1.07,0.65,4.24,-1.3,3 no,2020-04-23,-5.56,yes
256,J,,,,2.01,1.38,3 no,2020-05-06,,NaN
257,JBHT,8.89,-5.21,7.62,1.82,-4.33,1 yes,2020-04-14,2.44,no
258,JCI,-0.48,4.08,-0.64,-0.26,1.83,3 no,2020-05-01,,NaN
259,JKHY,-4.93,-2.46,1.63,2.41,4.98,3 no,2020-05-04,,NaN
260,JNJ,-1.91,1.32,-1.32,1.74,-1.72,3 no,2020-04-14,4.04,yes
261,JNPR,-10.55,-0.92,3.14,4.57,-7.11,2 maybe,2020-04-28,,NaN
262,JPM,-2.03,3.02,-0.6,2.06,-0.68,3 no,2020-04-14,-4.55,yes
263,JWN,2.43,-9.43,9.27,7.95,-6.16,1 yes,2020-05-19,,NaN
264,K,-4.39,-4.13,4.65,3.18,-7.41,1 yes,2020-04-30,,NaN
265,KEY,-1.43,-1.57,0.63,1.53,0.71,3 no,2020-04-16,5.44,yes
266,KEYS,2.92,11.68,5.95,1.64,9.79,1 yes,2020-05-27,,NaN
267,KHC,-25.59,,,5.58,-3.08,3 no,2020-04-30,,NaN
268,KIM,-1.96,1.15,0.91,-0.28,-0.8,3 no,2020-05-08,,NaN
269,KLAC,2.96,-4.06,4.28,-3.06,2.59,3 no,2020-05-05,,NaN
270,KMB,-3.61,3.55,1.67,-1.57,-2.96,3 no,2020-04-22,1.06,no
271,KMI,-2.06,-0.41,-2.33,-0.35,2.0,3 no,2020-04-22,3.73,no
272,KMX,4.73,5.73,3.84,-4.44,,2 maybe,Multi,,NaN
273,KO,-6.21,1.46,3.96,2.25,1.61,3 no,2020-04-21,1.48,no
274,KR,-12.27,-4.91,0.7,-0.51,-2.24,3 no,2020-06-18,,NaN
275,KSS,1.64,-12.14,1.69,-16.52,3.69,3 no,2020-05-19,,NaN
276,KSU,3.2,2.76,2.97,4.12,-0.56,3 no,2020-04-17,6.5,yes
277,L,-2.7,1.63,0.29,-1.24,6.82,3 no,2020-04-27,,NaN
278,LB,-5.84,7.07,-10.43,2.33,-7.51,1 yes,2020-05-20,,NaN
279,LDOS,-2.32,1.17,-3.19,3.45,3.63,3 no,2020-05-05,,NaN
280,LEG,4.6,-3.39,-0.1,3.4,2.21,3 no,2020-05-04,,NaN
281,LEN,,3.09,,1.29,,3 no,2020-06-23,,NaN
282,LH,2.45,0.68,-1.53,-0.89,0.52,3 no,2020-04-29,,NaN
283,LHX,,3.15,-2.59,1.91,2.02,3 no,2020-05-05,,NaN
284,LIN,,-1.02,1.22,,2.35,3 no,,,NaN
285,LKQ,0.79,-1.08,-1.3,3.75,,3 no,2020-04-30,,NaN
286,LLY,-1.46,-2.5,-0.58,-3.5,-1.24,3 no,2020-04-23,1.29,no
287,LMT,-2.35,3.57,1.5,-2.95,0.55,3 no,2020-04-21,2.69,no
288,LNC,-1.14,-0.51,-1.09,-5.97,3.47,3 no,2020-05-06,,NaN
289,LNT,-1.88,0.58,0.92,1.35,-0.17,3 no,2020-05-07,,NaN
290,LOW,3.79,-8.87,12.41,4.3,-2.82,1 yes,2020-05-20,,NaN
291,LRCX,7.84,3.87,-0.35,8.26,6.77,2 maybe,2020-04-22,4.86,yes
292,LUV,5.35,0.36,-2.54,1.8,-0.9,3 no,2020-04-28,,NaN
293,LVS,-2.9,1.66,-2.51,0.74,-1.75,3 no,2020-04-22,10.09,yes
294,LW,2.9,6.8,-2.86,0.26,3.64,3 no,2020-04-01,-8.93,yes
295,LYB,-1.97,-1.13,-1.82,2.88,-3.87,3 no,2020-05-01,,NaN
296,LYV,1.26,2.34,1.64,-3.55,-2.9,3 no,2020-04-30,,NaN
297,MA,2.83,1.6,-0.75,0.61,0.85,3 no,2020-04-29,,NaN
298,MAA,-0.31,0.42,0.33,0.1,0.24,3 no,2020-05-06,,NaN
299,MAR,0.18,-3.39,-2.88,-1.65,-2.65,3 no,2020-05-08,,NaN
300,MAS,4.51,-2.18,4.59,0.78,-6.75,2 maybe,2020-04-29,,NaN
301,MCD,-0.84,0.88,1.64,-2.27,0.62,3 no,2020-04-30,,NaN
302,MCHP,6.32,-4.46,,-2.52,6.17,2 maybe,,,NaN
303,MCK,-3.66,1.05,4.16,-4.67,2.86,3 no,2020-05-20,,NaN
304,MCO,3.82,-0.3,3.17,0.81,0.37,3 no,2020-04-30,,NaN
305,MDLZ,0.43,2.26,0.35,-2.01,2.68,3 no,2020-04-28,,NaN
306,MDT,1.03,2.61,3.65,1.11,-2.64,3 no,2020-05-21,,NaN
307,MET,-2.96,2.17,0.87,,1.91,3 no,,,NaN
308,MGM,-5.64,-4.06,3.34,,-4.19,2 maybe,2020-04-30,,NaN
309,MHK,6.19,-1.4,-11.74,5.93,-0.81,2 maybe,2020-05-04,,NaN
310,MKC,,-3.07,,1.56,,3 no,2020-06-25,,NaN
311,MKTX,-0.69,-0.52,-3.53,1.0,0.64,3 no,2020-04-29,,NaN
312,MLM,0.68,5.64,4.12,1.84,-1.64,3 no,2020-04-28,,NaN
313,MMC,3.32,-1.62,-1.39,0.5,-1.97,3 no,2020-04-30,,NaN
314,MMM,0.94,-9.83,4.23,-2.13,-2.12,3 no,2020-04-28,,NaN
315,MNST,7.63,8.47,-9.09,5.05,1.69,1 yes,2020-04-30,,NaN
316,MO,2.87,-4.79,-1.41,1.39,-2.08,3 no,2020-04-30,,NaN
317,MOS,1.67,-3.24,3.94,1.11,2.5,3 no,Multi,,NaN
318,MPC,-0.49,-2.61,2.71,1.41,3.16,3 no,2020-05-05,,NaN
319,MRK,2.07,1.02,1.82,2.25,-4.16,3 no,2020-04-28,,NaN
320,MRO,1.61,-4.05,,3.53,-2.93,3 no,2020-05-06,,NaN
321,MS,-4.59,1.77,-0.23,3.69,5.87,3 no,2020-04-16,3.1,no
322,MSCI,-0.82,,,2.09,,3 no,2020-04-28,,NaN
323,MSFT,-2.43,4.04,2.79,1.57,3.58,3 no,2020-04-29,,NaN
324,MSI,-0.15,,,,0.68,3 no,,,NaN
325,MTB,2.88,-0.77,-2.61,-4.29,1.61,3 no,2020-04-20,-3.73,no
326,MTD,-0.71,,,,1.07,3 no,,,NaN
327,MU,3.91,9.76,-5.56,3.71,5.65,1 yes,2020-06-23,,NaN
328,MXIM,-1.15,3.33,-3.09,5.69,3.24,3 no,2020-04-28,,NaN
329,MYL,-10.58,,13.49,,-4.6,2 maybe,2020-05-11,,NaN
330,NBL,-6.12,-1.56,9.81,,-0.75,3 no,Multi,,NaN
331,NCLH,1.96,1.15,1.6,2.21,-1.02,3 no,2020-05-07,,NaN
332,NDAQ,-0.91,-0.37,,1.91,0.91,3 no,2020-04-22,3.07,no
333,NEE,1.1,0.25,-0.91,0.55,-1.17,3 no,2020-04-22,1.07,no
334,NEM,0.88,1.96,-2.47,-1.65,1.79,3 no,2020-05-05,,NaN
335,NFLX,-0.54,1.76,-10.67,6.36,-1.64,3 no,2020-04-21,1.66,no
336,NI,-0.57,-1.3,-0.27,,-2.54,3 no,,,NaN
337,NKE,-3.19,0.46,5.28,-0.15,10.76,3 no,2020-06-25,,NaN
338,NLOK,,,,,8.12,3 no,2020-05-14,,NaN
339,NLSN,0.34,0.55,4.32,,-2.48,3 no,2020-04-30,,NaN
340,NOC,-3.26,-1.05,0.87,-1.47,-2.5,3 no,2020-04-29,,NaN
341,NOV,6.47,-1.89,1.35,6.92,8.31,2 maybe,2020-04-27,,NaN
342,NOW,8.95,7.55,-2.93,,6.65,2 maybe,Multi,,NaN
343,NRG,3.61,-0.54,0.39,0.91,-2.46,3 no,2020-05-07,,NaN
344,NSC,-2.98,2.27,-7.03,-1.71,6.08,3 no,2020-04-29,,NaN
345,NTAP,-8.69,-9.02,2.26,-0.35,-12.07,2 maybe,2020-05-20,,NaN
346,NTRS,3.29,1.06,0.64,0.48,-5.75,3 no,2020-04-21,2.65,no
347,NUE,2.92,1.23,1.43,2.01,7.12,3 no,2020-04-28,,NaN
348,NVDA,5.45,-1.05,7.11,0.17,6.09,2 maybe,2020-05-21,,NaN
349,NVR,3.04,1.49,1.2,0.18,-0.74,3 no,2020-04-23,-1.34,no
350,NWL,-12.68,6.14,5.96,4.69,-3.02,1 yes,2020-05-01,,NaN
351,NWS,,,,,,3 no,,,NaN
352,NWSA,-0.7,0.87,-0.92,-0.45,,3 no,Multi,,NaN
353,O,-1.21,0.47,-0.83,-0.82,5.8,3 no,2020-05-04,,NaN
354,ODFL,2.01,0.67,1.5,-1.94,0.88,3 no,2020-04-23,1.13,no
355,OKE,-2.2,0.57,0.48,-0.39,-1.65,3 no,2020-04-28,,NaN
356,OMC,2.87,2.73,-0.72,-0.63,3.23,3 no,2020-04-28,,NaN
357,ORCL,-3.11,6.26,-3.46,-2.6,11.68,3 no,2020-06-17,,NaN
358,ORLY,2.26,-4.1,-2.77,4.86,-3.56,3 no,2020-04-22,4.94,yes
359,OTIS,,,,,,3 no,,,NaN
360,OXY,1.57,-2.45,,-4.7,-3.07,3 no,2020-05-05,,NaN
361,PAYC,8.31,-0.53,6.59,-1.03,-6.64,2 maybe,2020-04-28,,NaN
362,PAYX,-1.04,-0.92,,,-0.94,3 no,2020-06-24,,NaN
363,PBCT,,-0.35,-0.3,1.01,-0.91,3 no,2020-04-16,4.55,yes
364,PCAR,4.03,0.95,-3.11,1.44,1.56,3 no,2020-04-21,2.1,no
365,PEAK,,,-0.31,0.35,0.25,3 no,2020-05-05,,NaN
366,PEG,1.71,0.39,-0.37,0.16,2.25,3 no,2020-05-04,,NaN
367,PEP,2.9,2.12,0.5,3.36,-0.57,3 no,2020-04-28,,NaN
368,PFE,-0.08,2.05,-3.91,1.93,-2.09,3 no,2020-04-28,,NaN
369,PFG,-5.08,0.82,-0.27,-7.67,3.81,3 no,2020-04-27,,NaN
370,PG,4.14,-1.89,3.29,4.13,-1.59,3 no,2020-04-17,-2.58,no
371,PGR,,,,,,3 no,Multi,,NaN
372,PH,-0.91,-3.58,-0.05,-2.55,3.07,3 no,2020-04-30,,NaN
373,PHM,,1.75,-4.12,1.05,2.3,3 no,2020-04-23,-3.07,no
374,PKG,-2.68,-0.82,-0.43,-0.57,-6.47,3 no,2020-04-27,,NaN
375,PKI,0.81,-2.19,-8.49,,-1.38,3 no,2020-05-05,,NaN
376,PLD,0.46,0.56,0.55,-0.08,-0.43,3 no,2020-04-21,-5.31,yes
377,PM,2.98,-0.41,4.5,1.52,1.02,3 no,2020-04-21,-5.05,yes
378,PNC,-0.58,0.56,-0.82,0.7,-0.98,3 no,2020-04-15,-4.95,yes
379,PNR,3.85,,3.78,1.09,,3 no,,,NaN
380,PNW,0.9,-0.75,-1.94,-4.57,-0.38,3 no,2020-05-08,,NaN
381,PPG,-1.07,2.04,-1.39,1.45,-3.36,3 no,2020-04-27,,NaN
382,PPL,-0.26,-0.48,1.93,-0.18,0.25,3 no,2020-05-08,,NaN
383,PRGO,-2.59,5.51,-0.44,1.15,-8.8,3 no,2020-04-30,,NaN
384,PRU,-3.44,-4.29,-6.42,-3.7,1.92,3 no,2020-05-05,,NaN
385,PSA,0.26,,0.37,-3.46,-0.45,3 no,,,NaN
386,PSX,3.47,0.15,0.77,1.45,-1.57,3 no,2020-05-01,,NaN
387,PVH,12.87,-9.33,8.38,1.41,,2 maybe,Multi,,NaN
388,PWR,0.86,,,1.05,3.37,3 no,2020-04-30,,NaN
389,PXD,-5.11,-2.04,-4.52,2.16,2.0,3 no,2020-05-06,,NaN
390,PYPL,-3.68,1.21,-3.75,9.76,-3.32,3 no,2020-05-06,,NaN
391,QCOM,2.05,1.31,-5.85,,-3.13,3 no,2020-04-29,,NaN
392,QRVO,-8.6,5.86,-0.59,13.63,8.03,1 yes,,,NaN
393,RCL,4.28,5.23,-2.51,,4.74,2 maybe,2020-04-29,,NaN
394,RE,-2.55,-1.11,0.55,1.02,0.61,3 no,2020-05-06,,NaN
395,REG,1.01,0.43,-0.27,0.14,0.06,3 no,2020-05-07,,NaN
396,REGN,1.87,-3.26,,,3.59,3 no,2020-05-05,,NaN
397,RF,-0.7,0.57,1.08,-1.74,-0.61,3 no,2020-04-17,,NaN
398,RHI,7.28,-9.73,4.06,2.47,-0.59,2 maybe,2020-04-23,,NaN
399,RJF,-0.39,0.52,-0.69,5.01,-5.12,3 no,2020-04-29,,NaN
400,RL,7.08,-1.67,3.35,13.44,9.49,2 maybe,2020-05-27,,NaN
401,RMD,-0.73,,4.97,13.52,-0.92,3 no,2020-04-30,,NaN
402,ROK,10.14,-5.63,-4.93,12.18,-0.91,1 yes,2020-04-28,,NaN
403,ROL,,-4.34,,3.53,0.63,3 no,2020-04-29,,NaN
404,ROP,2.38,1.41,-1.36,,1.32,3 no,2020-04-28,,NaN
405,ROST,1.61,-2.04,-1.64,1.15,-0.88,3 no,2020-05-21,,NaN
406,RSG,-0.49,0.31,-1.7,,-0.23,3 no,2020-05-05,,NaN
407,RTX,,,,,,3 no,,,NaN
408,SBAC,-0.64,-0.21,5.01,-5.03,0.1,3 no,2020-05-05,,NaN
409,SBUX,3.54,-0.37,5.96,2.99,-0.51,3 no,2020-04-28,,NaN
410,SCHW,3.16,3.09,1.74,3.31,-0.28,3 no,2020-04-15,,NaN
411,SEE,3.67,0.26,2.07,-1.82,0.11,3 no,2020-05-05,,NaN
412,SHW,-1.29,-0.42,3.17,1.29,-4.72,3 no,2020-04-29,,NaN
413,SIVB,4.66,-2.17,-0.02,0.41,-0.48,3 no,2020-04-23,,NaN
414,SJM,6.09,-4.26,-5.25,1.65,0.23,2 maybe,2020-06-04,,NaN
415,SLB,5.99,1.52,1.44,0.94,-1.93,3 no,2020-04-17,,NaN
416,SLG,0.23,1.25,0.94,-2.0,2.66,3 no,2020-04-22,,NaN
417,SNA,-6.47,6.44,-1.46,-0.55,1.11,3 no,2020-04-21,,NaN
418,SNPS,1.05,1.14,2.4,-1.85,-3.59,3 no,2020-05-20,,NaN
419,SO,-0.82,-1.86,,0.15,-1.54,3 no,2020-04-30,,NaN
420,SPG,1.35,-0.48,0.28,0.74,-0.92,3 no,2020-04-28,,NaN
421,SPGI,-2.68,-1.58,3.15,2.42,0.75,3 no,2020-04-28,,NaN
422,SRE,1.52,0.5,-0.41,1.04,-2.35,3 no,2020-05-04,,NaN
423,STE,1.09,-1.93,4.21,,,3 no,2020-05-04,,NaN
424,STT,6.26,-2.72,2.04,2.35,3.68,3 no,2020-04-17,,NaN
425,STX,-4.52,5.1,-8.73,-4.36,-3.29,1 yes,2020-04-22,,NaN
426,STZ,-11.45,,,-2.79,2.81,3 no,Multi,,NaN
427,SWK,-12.41,2.0,2.3,-2.33,-4.3,3 no,2020-04-30,,NaN
428,SWKS,7.86,,,-5.9,-1.32,3 no,2020-05-04,,NaN
429,SYF,12.84,1.65,0.4,2.12,-5.8,3 no,2020-04-21,,NaN
430,SYK,9.28,-1.79,4.07,-2.51,1.02,3 no,2020-04-30,,NaN
431,SYY,3.62,0.68,3.14,-0.52,-1.13,3 no,2020-05-05,,NaN
432,T,-2.41,-3.21,1.02,3.77,-1.57,3 no,2020-04-22,,NaN
433,TAP,-7.88,-1.87,-6.76,-3.14,5.24,2 maybe,2020-04-30,,NaN
434,TDG,6.49,-0.95,9.7,-3.33,1.95,3 no,2020-05-05,,NaN
435,TEL,-3.12,2.34,-1.97,-3.63,1.21,3 no,2020-04-28,,NaN
436,TFC,,,,-0.04,-1.88,3 no,2020-04-20,,NaN
437,TFX,-5.42,2.46,1.51,3.08,-1.04,3 no,2020-04-30,,NaN
438,TGT,5.26,7.02,16.77,10.35,2.7,1 yes,2020-05-20,,NaN
439,TIF,-2.22,,-4.58,-0.09,1.59,3 no,2020-06-02,,NaN
440,TJX,0.45,-1.69,-2.95,1.23,7.37,3 no,2020-05-19,,NaN
441,TMO,0.79,0.4,-1.57,6.25,-3.56,3 no,2020-04-22,,NaN
442,TMUS,1.58,2.78,,-1.4,0.72,3 no,,,NaN
443,TPR,-14.22,,-12.4,-2.3,5.14,2 maybe,2020-04-30,,NaN
444,TROW,-2.95,3.93,-0.89,2.37,-2.73,3 no,2020-04-28,,NaN
445,TRV,-0.41,2.12,-0.81,-6.58,-3.57,3 no,2020-04-21,,NaN
446,TSCO,-3.55,0.71,-6.66,2.99,-6.55,3 no,2020-04-23,,NaN
447,TSN,-0.97,-0.4,4.24,1.09,-3.7,3 no,2020-05-04,,NaN
448,TT,,,,,8.67,3 no,2020-05-05,,NaN
449,TTWO,-9.81,-2.12,8.24,,-9.19,2 maybe,2020-05-11,,NaN
450,TWTR,-8.75,7.39,5.12,-17.95,9.4,1 yes,2020-04-30,,NaN
451,TXN,2.59,-1.19,5.36,-9.15,-1.44,3 no,2020-04-21,,NaN
452,TXT,7.44,5.52,-2.83,-6.48,3.85,2 maybe,2020-04-30,,NaN
453,UA,,,,,,3 no,,,NaN
454,UAA,-2.89,8.71,-16.76,-15.66,-16.48,1 yes,2020-05-11,,NaN
455,UAL,6.96,3.25,0.54,1.67,-2.03,3 no,2020-04-30,,NaN
456,UDR,-0.57,-0.09,-0.11,0.18,0.22,3 no,,,NaN
457,UHS,-0.19,-2.21,6.3,-4.66,-0.8,3 no,2020-04-27,,NaN
458,ULTA,4.95,-4.0,-25.08,8.83,14.43,1 yes,2020-05-28,,NaN
459,UNH,0.78,3.39,-0.38,5.49,0.54,3 no,2020-04-15,,NaN
460,UNM,1.53,-0.3,-0.77,-1.5,,3 no,2020-05-04,,NaN
461,UNP,3.7,3.5,5.66,-0.73,1.42,3 no,2020-04-23,,NaN
462,UPS,4.26,-4.23,4.56,-2.27,-3.02,2 maybe,2020-04-28,,NaN
463,URI,4.74,7.59,-6.08,1.48,-1.45,2 maybe,2020-04-29,,NaN
464,USB,0.6,-1.85,0.37,2.03,-1.98,3 no,2020-04-15,,NaN
465,V,-2.33,-0.6,0.18,1.23,-3.23,3 no,2020-04-30,,NaN
466,VAR,1.01,-3.0,-4.44,9.8,-4.17,1 yes,2020-05-04,,NaN
467,VFC,12.23,-6.94,2.33,-6.52,-7.16,1 yes,2020-05-20,,NaN
468,VIAC,,,,0.95,,3 no,,,NaN
469,VLO,5.66,-0.61,-0.29,1.55,-0.71,3 no,,,NaN
470,VMC,7.3,3.83,1.51,-5.34,-2.88,3 no,2020-04-30,,NaN
471,VNO,-1.8,-0.39,1.56,,0.53,3 no,2020-05-04,,NaN
472,VRSK,-2.03,-0.41,-0.41,-2.63,-3.54,3 no,2020-05-05,,NaN
473,VRSN,-0.7,2.76,-0.54,6.91,-3.66,3 no,2020-04-23,,NaN
474,VRTX,-0.29,0.82,4.08,,3.62,3 no,2020-04-29,,NaN
475,VTR,-0.92,1.14,0.66,-3.04,-0.68,3 no,2020-04-24,,NaN
476,VZ,-2.63,-1.28,3.33,0.13,-1.39,3 no,2020-04-24,,NaN
477,WAB,-2.22,0.87,0.35,5.62,-0.34,3 no,2020-05-04,,NaN
478,WAT,9.99,-15.97,-4.2,-6.46,-5.11,1 yes,2020-04-28,,NaN
479,WBA,,,,1.12,-5.46,3 no,Multi,,NaN
480,WDC,13.35,-2.32,5.05,-7.8,3.29,2 maybe,2020-04-30,,NaN
481,WEC,-1.0,0.72,0.22,-1.21,0.5,3 no,2020-05-04,,NaN
482,WELL,-0.44,0.36,-0.42,5.78,-0.1,3 no,,,NaN
483,WFC,-1.69,-1.33,-0.22,-0.14,-3.61,3 no,2020-04-14,,NaN
484,WHR,-5.24,3.42,-0.92,-3.74,-2.14,3 no,2020-04-30,,NaN
485,WLTW,-1.89,-3.95,1.01,,-5.12,3 no,,,NaN
486,WM,-1.08,0.84,0.07,-0.25,-0.49,3 no,2020-05-06,,NaN
487,WMB,-0.92,,,-0.35,1.86,3 no,2020-05-04,,NaN
488,WMT,2.39,2.95,5.96,2.99,0.49,3 no,2020-05-19,,NaN
489,WRB,1.18,-0.96,3.12,5.82,0.65,3 no,2020-04-21,,NaN
490,WRK,,0.42,-0.94,1.22,-1.12,3 no,2020-05-05,,NaN
491,WU,-3.66,-3.75,-3.22,0.72,-6.73,3 no,2020-05-05,,NaN
492,WY,-0.86,1.6,1.52,-0.75,-2.99,3 no,2020-05-01,,NaN
493,WYNN,2.95,,,,-3.83,3 no,,,NaN
494,XEL,-0.17,-0.58,-1.19,0.82,0.36,3 no,2020-05-07,,NaN
495,XLNX,9.55,-9.57,-5.4,-1.74,-7.21,1 yes,2020-04-22,,NaN
496,XOM,2.24,-2.37,-1.35,1.21,-2.45,3 no,2020-05-01,,NaN
497,XRAY,12.52,3.79,-5.36,4.61,-1.05,2 maybe,2020-05-01,,NaN
498,XRX,5.6,-1.04,-1.19,,,3 no,Multi,,NaN
499,XYL,1.42,,,-4.83,-7.54,3 no,2020-05-05,,NaN
500,YUM,-5.38,-2.77,3.23,-6.59,-4.48,2 maybe,2020-04-29,,NaN
501,ZBH,5.2,-0.94,5.32,3.27,2.96,3 no,2020-05-11,,NaN
502,ZBRA,1.11,0.53,8.99,0.17,-7.93,3 no,2020-04-28,,NaN
503,ZION,,-0.44,-6.81,6.2,1.36,3 no,2020-04-20,,NaN
504,ZTS,0.86,,,,-0.73,3 no,,,NaN
